#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 638000      6.53e-01      5.19e-03      3.18e-02    4.2e-04
 640000      5.06e-01      4.12e-03      2.53e-02    4.0e-04
 642000      6.80e-01      5.53e-03      3.40e-02    4.0e-04
 644000      2.49e-01      2.65e-02      9.33e-03    4.0e-04
 646000      1.94e-01      2.86e-02      7.39e-03    4.0e-04
 648000      2.58e-01      3.96e-02      3.79e-03    4.0e-04
 650000      1.57e-01      2.08e-02      4.49e-03    4.0e-04
 652000      6.35e-01      1.00e-02      3.17e-02    4.0e-04
 654000      1.28e-01      1.42e-02      4.66e-03    4.0e-04
 656000      5.99e-02      4.86e-03      2.59e-03    4.0e-04
 658000      1.93e-01      1.67e-02      8.96e-03    4.0e-04
 660000      1.94e-01      2.86e-02      7.39e-03    4.0e-04
 662000      2.78e-01      2.45e-03      1.39e-02    4.0e-04
 664000      5.07e-02      7.53e-03      9.61e-04    4.0e-04
 666000      4.87e-01      1.11e-02      2.43e-02    4.0e-04
 668000      3.69e-02      3.70e-03      1.44e-03    4.0e-04
 670000      3.94e-01      4.87e-03      1.97e-02    4.0e-04
 672000      7.21e-02      4.45e-03      3.33e-03    4.0e-04
 674000      1.17e-01      1.44e-02      4.90e-03    4.0e-04
 676000      7.79e-02      1.13e-02      1.68e-03    4.0e-04
 678000      7.05e-01      6.71e-03      3.52e-02    4.0e-04
 680000      1.64e-01      1.73e-02      7.47e-03    3.8e-04
 682000      1.09e-01      1.40e-02      4.58e-03    3.8e-04
 684000      2.84e-01      6.91e-03      1.45e-02    3.8e-04
 686000      8.93e-02      1.29e-02      1.84e-03    3.8e-04
 688000      6.45e-02      1.38e-03      3.30e-03    3.8e-04
 690000      2.25e-01      2.79e-02      7.15e-03    3.8e-04
 692000      6.49e-02      8.36e-03      2.73e-03    3.8e-04
 694000      1.43e-01      2.94e-02      2.89e-03    3.8e-04
 696000      1.32e-01      7.44e-03      6.57e-03    3.8e-04
 698000      6.79e-01      2.16e-02      3.46e-02    3.8e-04
 700000      6.14e-01      6.25e-03      3.16e-02    3.8e-04
 702000      1.26e-01      2.24e-02      3.89e-03    3.8e-04
 704000      3.39e-02      3.61e-03      1.29e-03    3.8e-04
 706000      1.46e-01      2.28e-02      1.09e-03    3.8e-04
 708000      5.92e-01      5.07e-03      3.05e-02    3.8e-04
 710000      1.50e-01      1.11e-02      6.83e-03    3.8e-04
 712000      4.94e-01      1.12e-02      2.53e-02    3.8e-04
 714000      1.10e-01      1.55e-03      5.67e-03    3.8e-04
 716000      7.39e-01      4.56e-03      3.81e-02    3.8e-04
 718000      1.54e-01      1.86e-02      6.69e-03    3.8e-04
 720000      3.33e-01      6.21e-02      9.31e-03    3.5e-04
 722000      5.73e-02      2.90e-03      2.87e-03    3.5e-04
 724000      6.00e-01      9.17e-03      3.18e-02    3.5e-04
 726000      8.21e-02      3.17e-03      4.28e-03    3.5e-04
 728000      1.79e-01      2.92e-03      9.46e-03    3.5e-04
 730000      2.72e-01      3.03e-02      1.24e-02    3.5e-04
 732000      6.06e-01      1.39e-02      3.20e-02    3.5e-04
 734000      5.70e-01      7.38e-03      3.01e-02    3.5e-04
 736000      7.99e-02      1.16e-02      1.49e-03    3.5e-04
 738000      6.55e-01      1.01e-01      4.82e-03    3.5e-04
 740000      2.40e-01      3.22e-02      6.38e-03    3.5e-04
 742000      5.03e-01      2.82e-03      2.66e-02    3.5e-04
 744000      1.10e-02      4.68e-04      5.61e-04    3.5e-04
 746000      2.39e-01      1.89e-02      1.20e-02    3.5e-04
 748000      3.01e-01      4.54e-02      3.71e-03    3.5e-04
 750000      7.02e-02      4.07e-03      3.46e-03    3.5e-04
 752000      2.21e-01      9.78e-03      1.15e-02    3.5e-04
 754000      5.84e-01      1.50e-02      3.08e-02    3.5e-04
 756000      1.39e-01      1.34e-02      6.65e-03    3.5e-04
 758000      3.10e-01      8.46e-03      1.64e-02    3.5e-04
 760000      6.99e-02      1.13e-02      2.52e-03    3.3e-04
 762000      1.09e-01      1.54e-02      2.17e-03    3.3e-04
 764000      2.88e-01      5.30e-03      1.56e-02    3.3e-04
 766000      5.07e-01      1.57e-02      2.71e-02    3.3e-04
 768000      9.56e-02      7.84e-04      5.21e-03    3.3e-04
 770000      6.83e-02      9.97e-03      1.10e-03    3.3e-04
 772000      3.01e-01      1.30e-03      1.64e-02    3.3e-04
 774000      1.98e-01      2.97e-02      2.02e-03    3.3e-04
 776000      4.63e-01      2.07e-03      2.53e-02    3.3e-04
 778000      2.96e-01      2.31e-02      1.39e-02    3.3e-04
